city,province,region_std,city_job_count,GDI_c,Exposure_c,SRI_c,entropy_c,GDI_group,Exposure_group,SRI_group,city_type,n_c,city_display_weight,GDI_c_weighted_display,Exposure_c_weighted_display,SRI_c_weighted_display,entropy_c_weighted_display,GDI_rank_raw,GDI_rank_weighted,SRI_rank_raw,SRI_rank_weighted,small_sample_threshold,small_sample_penalty_weight,small_sample_penalty_flag,GDI_c_penalty_display,GDI_rank_penalty,Exposure_c_penalty_display,Exposure_rank_raw,Exposure_rank_penalty,SRI_c_penalty_display,SRI_rank_penalty,entropy_c_penalty_display,entropy_rank_raw,entropy_rank_penalty
七台河,黑龙江,东北,21,0.0,7.9165082312,-0.578638425,2.4205609811,low,low,middle,低 GDI × 低 Exposure,21,0.0123986148804989,0.0,0.0981537367569484,-0.0071743149866334,0.0300116033994215,165.0,165.0,141.0,56.0,1000,0.14491376746189438,1,0.0,165.0,1.1472110329262897,289.0,330.0,-0.0838526741649668,60.0,0.35077261114246033,330.0,328.0
三亚,海南,东部,781,0.0051216389,9.318588482,-0.0124788979,3.7874910702,high,high,high,高 GDI × 高 Exposure,781,0.0756117065123168,0.0003872558573688,0.7045943774100405,-0.0009435507656119,0.2863786632179834,68.0,68.0,37.0,41.0,1000,0.8837420438114281,1,0.004526207629150115,58.0,8.235228430520312,11.0,72.0,-0.01102812673466014,41.0,3.347165099296081,82.0,103.0
三明,福建,东部,160,0.0,8.8420019313,-0.5094855548,3.2844152394,low,high,middle,低 GDI × 高 Exposure,160,0.0342234284503276,0.0,0.3026036204535047,-0.0174363424311733,0.1124039499467717,165.0,165.0,123.0,101.0,1000,0.4,1,0.0,165.0,3.5368007725200004,65.0,240.0,-0.20379422192000002,108.0,1.3137660957600001,234.0,246.0
三门峡,河南,中部,150,0.0,7.60712118,-4.2946535115,2.9206311697,low,low,low,低 GDI × 低 Exposure,150,0.03313669210956,0.0,0.2520748323817731,-0.1423106111278164,0.0967800558359331,165.0,165.0,342.0,322.0,1000,0.3872983346207417,1,0.0,165.0,2.9462253642721716,323.0,265.0,-1.6633121527770705,328.0,1.131155588066239,306.0,265.0
上海,上海,东部,136607,0.0162070758,9.2467545623,0.5854972384,4.1161635582,high,high,high,高 GDI × 高 Exposure,136607,1.0,0.0162070758,9.2467545623,0.5854972384,4.1161635582,6.0,1.0,7.0,2.0,1000,1.0,0,0.0162070758,2.0,9.2467545623,16.0,6.0,0.5854972384,4.0,4.1161635582,1.0,1.0
上饶,江西,中部,831,0.0024067389,8.3927708368,-1.2928746384,3.8137092544,middle,middle,low,高 GDI × 高 Exposure,831,0.0779945101680838,0.0001877124216079,0.6545900503691953,-0.1008371241307465,0.2974483852204163,123.0,117.0,250.0,284.0,1000,0.9115920140062659,1,0.0021939639610382253,110.0,7.6507828702115654,165.0,102.0,-1.1785741954766789,297.0,3.4765469000528304,69.0,100.0
东莞,广东,东部,45687,0.0049685906,8.4625201237,-0.2960440099,3.9303495089,high,middle,high,高 GDI × 高 Exposure,45687,0.5783088569753085,0.0028733799506642,4.8939503398674935,-0.1712048729796559,2.2729559320054245,70.0,17.0,79.0,334.0,1000,1.0,0,0.0049685906,53.0,8.4625201237,141.0,51.0,-0.2960440099,142.0,3.9303495089,28.0,28.0
东营,山东,东部,250,0.004,8.6145275597,-0.5529167343,3.5753470906,middle,high,middle,高 GDI × 高 Exposure,250,0.0427792855629095,0.0001711171422516,0.3685233344659611,-0.0236533828691311,0.1529507941752954,84.0,127.0,136.0,118.0,1000,0.5,1,0.002,120.0,4.30726377985,99.0,206.0,-0.27645836715,127.0,1.7876735453,159.0,204.0
中卫,宁夏,西部,76,0.0263157895,9.1166818878,-0.4477951917,3.0412801973,high,high,high,高 GDI × 高 Exposure,76,0.0235868703111494,0.000620707114072,0.2150339933555434,-0.0105620871125841,0.0717342815935819,2.0,47.0,111.0,77.0,1000,0.27568097504180444,1,0.0072547625083548796,29.0,2.5132957519746624,27.0,290.0,-0.12344861506688773,83.0,0.8384230901669953,287.0,301.0
中山,广东,东部,9839,0.0136192703,8.6326307512,-0.0113946269,4.0102341339,high,high,high,高 GDI × 高 Exposure,9839,0.2683731126751166,0.0036550459627747,2.316765985274474,-0.0030580114889246,1.0762390170707434,11.0,11.0,36.0,44.0,1000,1.0,0,0.0136192703,5.0,8.6326307512,92.0,41.0,-0.0113946269,42.0,4.0102341339,11.0,11.0
