city,province,city_job_count,small_sample_penalty_weight,small_sample_penalty_flag,GDI_c,GDI_rank_raw,GDI_rank_penalty,SRI_c,SRI_rank_raw,SRI_rank_penalty,entropy_c,entropy_rank_raw,entropy_rank_penalty,GDI_rank_change,SRI_rank_change,entropy_rank_change
七台河,黑龙江,21,0.14491376746189438,1,0.0,165.0,165.0,-0.578638425,141.0,60.0,2.4205609811,330.0,328.0,0.0,-81.0,-2.0
三亚,海南,781,0.8837420438114281,1,0.0051216389,68.0,58.0,-0.0124788979,37.0,41.0,3.7874910702,82.0,103.0,-10.0,4.0,21.0
三明,福建,160,0.4,1,0.0,165.0,165.0,-0.5094855548,123.0,108.0,3.2844152394,234.0,246.0,0.0,-15.0,12.0
三门峡,河南,150,0.3872983346207417,1,0.0,165.0,165.0,-4.2946535115,342.0,328.0,2.9206311697,306.0,265.0,0.0,-14.0,-41.0
上海,上海,136607,1.0,0,0.0162070758,6.0,2.0,0.5854972384,7.0,4.0,4.1161635582,1.0,1.0,-4.0,-3.0,0.0
上饶,江西,831,0.9115920140062659,1,0.0024067389,123.0,110.0,-1.2928746384,250.0,297.0,3.8137092544,69.0,100.0,-13.0,47.0,31.0
东莞,广东,45687,1.0,0,0.0049685906,70.0,53.0,-0.2960440099,79.0,142.0,3.9303495089,28.0,28.0,-17.0,63.0,0.0
东营,山东,250,0.5,1,0.004,84.0,120.0,-0.5529167343,136.0,127.0,3.5753470906,159.0,204.0,36.0,-9.0,45.0
中卫,宁夏,76,0.27568097504180444,1,0.0263157895,2.0,29.0,-0.4477951917,111.0,83.0,3.0412801973,287.0,301.0,27.0,-28.0,14.0
中山,广东,9839,1.0,0,0.0136192703,11.0,5.0,-0.0113946269,36.0,42.0,4.0102341339,11.0,11.0,-6.0,6.0,0.0
临夏,甘肃,51,0.22583179581272428,1,0.0,165.0,165.0,-0.1690915722,54.0,45.0,2.9235210921,305.0,310.0,0.0,-9.0,5.0
临汾,山西,305,0.552268050859363,1,0.0,165.0,165.0,-2.7554612572,321.0,322.0,2.9435962672,302.0,217.0,0.0,1.0,-85.0
临沂,山东,730,0.8544003745317531,1,0.001369863,153.0,153.0,-0.5996445649,145.0,196.0,3.5630175858,163.0,116.0,0.0,51.0,-47.0
临沧,云南,150,0.3872983346207417,1,0.0,165.0,165.0,0.1426848532,25.0,27.0,3.0274784349,293.0,256.0,0.0,2.0,-37.0
丹东,辽宁,111,0.3331666249791536,1,0.0,165.0,165.0,-0.3181768994,85.0,74.0,2.8846990676,311.0,290.0,0.0,-11.0,-21.0
丽水,浙江,672,0.8197560612767679,1,0.0014880952,150.0,152.0,-0.7944954608,182.0,229.0,3.7666770186,89.0,114.0,2.0,47.0,25.0
丽江,云南,154,0.3924283374069717,1,0.0,165.0,165.0,-0.3411764628,90.0,85.0,3.1990993132,253.0,249.0,0.0,-5.0,-4.0
义乌,浙江,882,0.9391485505499116,1,0.0068027211,46.0,38.0,-0.7137054349,167.0,233.0,3.7987650231,77.0,95.0,-8.0,66.0,18.0
乌兰察布,内蒙古,199,0.44609416046390926,1,0.0,165.0,165.0,-2.0695116099,304.0,270.0,3.2263791435,249.0,233.0,0.0,-34.0,-16.0
乌海,内蒙古,56,0.23664319132398465,1,0.0,165.0,165.0,-0.2686231405,75.0,52.0,2.9712875713,299.0,305.0,0.0,-23.0,6.0
乌鲁木齐,新疆,1696,1.0,0,0.0035377358,92.0,72.0,0.4523813191,10.0,6.0,3.5998931201,148.0,92.0,-20.0,-4.0,-56.0
乐山,四川,452,0.6723094525588644,1,0.0066371681,48.0,59.0,-0.7688217186,179.0,201.0,3.6634031585,125.0,140.0,11.0,22.0,15.0
九江,江西,1405,1.0,0,0.0142348754,8.0,3.0,-0.4837009742,116.0,191.0,3.8791665985,44.0,42.0,-5.0,75.0,-2.0
