city,province,region_std,city_job_count,small_sample_threshold,small_sample_penalty_weight,small_sample_penalty_flag,GDI_c,GDI_c_penalty_display,Exposure_c,Exposure_c_penalty_display,SRI_c,SRI_c_penalty_display,entropy_c,entropy_c_penalty_display,GDI_rank_raw,GDI_rank_penalty,Exposure_rank_raw,Exposure_rank_penalty,SRI_rank_raw,SRI_rank_penalty,entropy_rank_raw,entropy_rank_penalty
七台河,黑龙江,东北,21,1000,0.14491376746189438,1,0.0,0.0,7.9165082312,1.1472110329262897,-0.578638425,-0.0838526741649668,2.4205609811,0.35077261114246033,165.0,165.0,289.0,330.0,141.0,60.0,330.0,328.0
三亚,海南,东部,781,1000,0.8837420438114281,1,0.0051216389,0.004526207629150115,9.318588482,8.235228430520312,-0.0124788979,-0.01102812673466014,3.7874910702,3.347165099296081,68.0,58.0,11.0,72.0,37.0,41.0,82.0,103.0
三明,福建,东部,160,1000,0.4,1,0.0,0.0,8.8420019313,3.5368007725200004,-0.5094855548,-0.20379422192000002,3.2844152394,1.3137660957600001,165.0,165.0,65.0,240.0,123.0,108.0,234.0,246.0
三门峡,河南,中部,150,1000,0.3872983346207417,1,0.0,0.0,7.60712118,2.9462253642721716,-4.2946535115,-1.6633121527770705,2.9206311697,1.131155588066239,165.0,165.0,323.0,265.0,342.0,328.0,306.0,265.0
上海,上海,东部,136607,1000,1.0,0,0.0162070758,0.0162070758,9.2467545623,9.2467545623,0.5854972384,0.5854972384,4.1161635582,4.1161635582,6.0,2.0,16.0,6.0,7.0,4.0,1.0,1.0
上饶,江西,中部,831,1000,0.9115920140062659,1,0.0024067389,0.0021939639610382253,8.3927708368,7.6507828702115654,-1.2928746384,-1.1785741954766789,3.8137092544,3.4765469000528304,123.0,110.0,165.0,102.0,250.0,297.0,69.0,100.0
东莞,广东,东部,45687,1000,1.0,0,0.0049685906,0.0049685906,8.4625201237,8.4625201237,-0.2960440099,-0.2960440099,3.9303495089,3.9303495089,70.0,53.0,141.0,51.0,79.0,142.0,28.0,28.0
东营,山东,东部,250,1000,0.5,1,0.004,0.002,8.6145275597,4.30726377985,-0.5529167343,-0.27645836715,3.5753470906,1.7876735453,84.0,120.0,99.0,206.0,136.0,127.0,159.0,204.0
中卫,宁夏,西部,76,1000,0.27568097504180444,1,0.0263157895,0.0072547625083548796,9.1166818878,2.5132957519746624,-0.4477951917,-0.12344861506688773,3.0412801973,0.8384230901669953,2.0,29.0,27.0,290.0,111.0,83.0,287.0,301.0
中山,广东,东部,9839,1000,1.0,0,0.0136192703,0.0136192703,8.6326307512,8.6326307512,-0.0113946269,-0.0113946269,4.0102341339,4.0102341339,11.0,5.0,92.0,41.0,36.0,42.0,11.0,11.0
临夏,甘肃,西部,51,1000,0.22583179581272428,1,0.0,0.0,9.485688544,2.1421700784117057,-0.1690915722,-0.03818625340672293,2.9235210921,0.66022401832532,165.0,165.0,5.0,303.0,54.0,45.0,305.0,310.0
临汾,山西,中部,305,1000,0.552268050859363,1,0.0,0.0,8.0850007098,4.465087583197812,-2.7554612572,-1.5217532177323339,2.9435962672,1.6256541730034406,165.0,165.0,257.0,196.0,321.0,322.0,302.0,217.0
临沂,山东,东部,730,1000,0.8544003745317531,1,0.001369863,0.001170411460257191,8.5258376475,7.28447887922092,-0.5996445649,-0.51233654083649,3.5630175858,3.044243559770743,153.0,153.0,123.0,108.0,145.0,196.0,163.0,116.0
临沧,云南,西部,150,1000,0.3872983346207417,1,0.0,0.0,9.1381145359,3.5391765413276617,0.1426848532,0.05526160601996501,3.0274784349,1.1725373559369796,165.0,165.0,24.0,239.0,25.0,27.0,293.0,256.0
丹东,辽宁,东北,111,1000,0.3331666249791536,1,0.0,0.0,7.8472962644,2.614457211621668,-0.3181768994,-0.10600592371942968,2.8846990676,0.9610854524328033,165.0,165.0,303.0,286.0,85.0,74.0,311.0,290.0
丽水,浙江,东部,672,1000,0.8197560612767679,1,0.0014880952,0.0012198750599568642,8.4743123519,6.946868915622607,-0.7944954608,-0.6512924696476787,3.7666770186,3.087756316869255,150.0,152.0,139.0,119.0,182.0,229.0,89.0,114.0
丽江,云南,西部,154,1000,0.3924283374069717,1,0.0,0.0,8.7673177609,3.4405439324286005,-0.3411764628,-0.13388731205899554,3.1990993132,1.255417224678861,165.0,165.0,68.0,243.0,90.0,85.0,253.0,249.0
义乌,浙江,东部,882,1000,0.9391485505499116,1,0.0068027211,0.006388765660860301,8.748884354,8.2165020599879,-0.7137054349,-0.6702754247059294,3.7987650231,3.5676046653240667,46.0,38.0,73.0,74.0,167.0,233.0,77.0,95.0
乌兰察布,内蒙古,西部,199,1000,0.44609416046390926,1,0.0,0.0,7.5402659009,3.363668586736628,-2.0695116099,-0.9231970441886539,3.2263791435,1.4392688953578991,165.0,165.0,330.0,244.0,304.0,270.0,249.0,233.0
乌海,内蒙古,西部,56,1000,0.23664319132398465,1,0.0,0.0,7.7232185106,1.8276470756408556,-0.2686231405,-0.06356783723139112,2.9712875713,0.7031349732137235,165.0,165.0,317.0,313.0,75.0,52.0,299.0,305.0
乌鲁木齐,新疆,西部,1696,1000,1.0,0,0.0035377358,0.0035377358,9.1337139158,9.1337139158,0.4523813191,0.4523813191,3.5998931201,3.5998931201,92.0,72.0,25.0,11.0,10.0,6.0,148.0,92.0
乐山,四川,西部,452,1000,0.6723094525588644,1,0.0066371681,0.0044622308518521584,9.0295308703,6.07063895627476,-0.7688217186,-0.5168861087473313,3.6634031585,2.46294057199355,48.0,59.0,36.0,132.0,179.0,201.0,125.0,140.0
九江,江西,中部,1405,1000,1.0,0,0.0142348754,0.0142348754,8.7190564898,8.7190564898,-0.4837009742,-0.4837009742,3.8791665985,3.8791665985,8.0,3.0,79.0,36.0,116.0,191.0,44.0,42.0
云浮,广东,东部,367,1000,0.6058052492344383,1,0.0,0.0,8.4389804171,5.11237863486581,-0.1399796669,-0.08480041699410816,3.7329866594,2.26146291358665,165.0,165.0,153.0,164.0,50.0,62.0,104.0,156.0
亳州,安徽,中部,319,1000,0.5648008498577175,1,0.0,0.0,8.0124643532,4.525446676142027,-1.4387394162,-0.8126012449935563,3.589131866,2.0271447281682153,165.0,165.0,274.0,194.0,259.0,253.0,151.0,182.0
仙桃,湖北,中部,400,1000,0.6324555320336759,1,0.0,0.0,7.9438090802,5.024105998191836,-1.1604635486,-0.7339415910355004,3.6635646764,2.3170417465523436,165.0,165.0,285.0,167.0,242.0,244.0,124.0,150.0
伊春,黑龙江,东北,52,1000,0.22803508501982758,1,0.0,0.0,8.518790787,1.942583181379669,-0.5677483017,-0.12946653224802224,2.6328164431,0.6003745214439085,165.0,165.0,126.0,309.0,139.0,84.0,324.0,314.0
伊犁,新疆,西部,103,1000,0.3209361307176242,1,0.0,0.0,8.6455514075,2.77466981664336,-0.1537646955,-0.04934864641474368,3.3244842169,1.066947101203697,165.0,165.0,87.0,274.0,51.0,48.0,224.0,274.0
佛山,广东,东部,22680,1000,1.0,0,0.0071428571,0.0071428571,8.9450411921,8.9450411921,-0.0475111692,-0.0475111692,4.0288134262,4.0288134262,42.0,30.0,53.0,25.0,40.0,47.0,8.0,8.0
佳木斯,黑龙江,东北,107,1000,0.32710854467592254,1,0.0093457944,0.0030570892050243866,7.8359432885,2.5632040052642977,-0.3388645627,-0.1108454939470399,2.8973802769,0.9477578457494804,30.0,85.0,306.0,288.0,88.0,78.0,308.0,291.0
保定,河北,东部,1280,1000,1.0,0,0.00078125,0.00078125,8.3551376068,8.3551376068,-1.9346598234,-1.9346598234,3.5468640629,3.5468640629,163.0,163.0,174.0,58.0,298.0,337.0,167.0,96.0
