province_std_source,city_std_source,district_std_source,province_std_final,city_std_final,district_std_final,city_std_confidence,city_std_reason,record_count,example_job_id,example_detail_url
,广东省,,广东,,,low,province-only-city-source,813,job_009013,https://jobs.51job.com/all/171632916.html?s=sou_sou_soulb&t=0_0&req=44774278b1213b19831ee11e60479e78
,江苏省,,江苏,,,low,province-only-city-source,691,job_009781,https://jobs.51job.com/all/171418725.html?s=sou_sou_soulb&t=0_0&req=7135e4d2e0c6fe23832b923a36886b7f
,浙江省,,浙江,,,low,province-only-city-source,650,job_010067,https://jobs.51job.com/all/171490951.html?s=sou_sou_soulb&t=0_0&req=b8a09e16f8ae615cd40b5a535620c64e
,四川省,,四川,,,low,province-only-city-source,475,job_006163,https://jobs.51job.com/all/156042760.html?s=sou_sou_soulb&t=0_0&req=60a5c2805641692fcae5e74872595e55
,湖北省,,湖北,,,low,province-only-city-source,448,job_007323,https://jobs.51job.com/all/144224516.html?s=sou_sou_soulb&t=0_0&req=afa61febfb2b28b452c26227c40a9247
,山东省,,山东,,,low,province-only-city-source,433,job_006558,https://jobs.51job.com/all/144224527.html?s=sou_sou_soulb&t=0_0&req=49fa21f4a13df9e7f28418008970f854
,河南省,,河南,,,low,province-only-city-source,305,job_010504,https://jobs.51job.com/all/167606049.html?s=sou_sou_soulb&t=0_0&req=581b5c5aac5f83cdf1c53a7a03239b66
,湖南省,,湖南,,,low,province-only-city-source,295,job_023378,https://jobs.51job.com/all/163091569.html?s=sou_sou_soulb&t=0_0&req=7ef09014cf3d7886096a2ba96f4db7be
,陕西省,,陕西,,,low,province-only-city-source,291,job_007822,https://jobs.51job.com/all/144224517.html?s=sou_sou_soulb&t=0_0&req=d44d77ea22635fb2b73bcf05e406526a
,安徽省,,安徽,,,low,province-only-city-source,270,job_006901,https://jobs.51job.com/all/158053966.html?s=sou_sou_soulb&t=0_0&req=abf6b693e7a904c2f7e4e24033549fe9
,福建省,,福建,,,low,province-only-city-source,254,job_006539,https://jobs.51job.com/all/166328982.html?s=sou_sou_soulb&t=0_0&req=79ea65d94504be4b8d5c3a60ff278d27
,河北省,,河北,,,low,province-only-city-source,220,job_022904,https://jobs.51job.com/all/156691027.html?s=sou_sou_soulb&t=0_0&req=5a954a9a4370685a320edde176a427b9
,江西省,,江西,,,low,province-only-city-source,214,job_017476,https://jobs.51job.com/all/171129785.html?s=sou_sou_soulb&t=0_0&req=7ce2d9011ac83cb214d921429504aa71
,辽宁省,,辽宁,,,low,province-only-city-source,212,job_007944,https://jobs.51job.com/all/168232899.html?s=sou_sou_soulb&t=0_0&req=e1b1b71554bb5199b3e777db2b72821f
,云南省,,云南,,,low,province-only-city-source,200,job_023722,https://jobs.51job.com/all/163091568.html?s=sou_sou_soulb&t=0_0&req=b7589255193a9fd904121e4a96fbed1a
,广西,,,广西,,low,fallback-city-source,147,job_015669,https://jobs.51job.com/all/166610934.html?s=sou_sou_soulb&t=0_0&req=5a3451896f7ca9bb8219d74b96dfaaa7
,黑龙江省,,黑龙江,,,low,province-only-city-source,115,job_023590,https://jobs.51job.com/all/163091578.html?s=sou_sou_soulb&t=0_0&req=be1a22f45565fcf992c3e9a4211e3e95
,吉林省,,吉林,,,low,province-only-city-source,114,job_023677,https://jobs.51job.com/all/163091577.html?s=sou_sou_soulb&t=0_0&req=1fcdc5b89fc432a84f37b17b7a5a6471
,山西省,,山西,,,low,province-only-city-source,110,job_052162,https://jobs.51job.com/all/165324768.html?s=sou_sou_soulb&t=0_0&req=d99d51810b8d3b47f22f10a8a7855ec4
,贵州省,,贵州,,,low,province-only-city-source,107,job_015785,https://jobs.51job.com/all/166610935.html?s=sou_sou_soulb&t=0_0&req=6984570dbb8bc4aa49543ee2f939feea
,海南省,,海南,,,low,province-only-city-source,81,job_022454,https://jobs.51job.com/all/163348629.html?s=sou_sou_soulb&t=0_0&req=b031034b59e757fb0b5981115ccdf6fc
,甘肃省,,甘肃,,,low,province-only-city-source,72,job_023825,https://jobs.51job.com/all/171113960.html?s=sou_sou_soulb&t=0_0&req=a7ff71330ec3079e6952ab73c1d523a2
,内蒙古,,,内蒙古,,low,fallback-city-source,58,job_054213,https://jobs.51job.com/all/153709531.html?s=sou_sou_soulb&t=0_0&req=6a378f3dac944047b0f41a90261b66fb
,新疆,,,新疆,,low,fallback-city-source,55,job_054467,https://jobs.51job.com/all/163241260.html?s=sou_sou_soulb&t=0_0&req=1f437a66255ca8ba3e29cca419838667
湖北,湖北省,,湖北,,,low,province-only-city-source,52,job_007128,https://jobs.51job.com/hubeisheng/138790649.html?s=sou_sou_soulb&t=0_0&req=6b0892166965cee51d9887a5cdd87b5a
云南,云南省,,云南,,,low,province-only-city-source,48,job_008086,https://jobs.51job.com/yunnansheng/138790679.html?s=sou_sou_soulb&t=0_0&req=285fe2946d59c8345e3737661d2dc296
湖南,湖南省,,湖南,,,low,province-only-city-source,47,job_007622,https://jobs.51job.com/hunansheng/138790651.html?s=sou_sou_soulb&t=0_0&req=d1d0d05b398a90240b491b32f9ee423c
四川,四川省,,四川,,,low,province-only-city-source,41,job_006151,https://jobs.51job.com/sichuansheng/138790674.html?s=sou_sou_soulb&t=0_0&req=60a5c2805641692fcae5e74872595e55
河南,河南省,,河南,,,low,province-only-city-source,41,job_007020,https://jobs.51job.com/henansheng/138790648.html?s=sou_sou_soulb&t=0_0&req=8468dee840d7c61d0a3dfc1ebcbed152
陕西,陕西省,,陕西,,,low,province-only-city-source,38,job_007763,https://jobs.51job.com/shaanxisheng/138790672.html?s=sou_sou_soulb&t=0_0&req=d39bf751ee95785621b4bcbdd616430c
安徽,安徽省,,安徽,,,low,province-only-city-source,35,job_006771,https://jobs.51job.com/anhuisheng/138790637.html?s=sou_sou_soulb&t=0_0&req=438aa1e02e3d1521ebaf4547b54fb9ec
广西,广西,,广西,广西,,low,fallback-city-source,34,job_006707,https://jobs.51job.com/guangxi/138790642.html?s=sou_sou_soulb&t=0_0&req=bc8e1b2747700688a25d4e87885bfb36
甘肃,甘肃省,,甘肃,,,low,province-only-city-source,34,job_008165,https://jobs.51job.com/gansusheng/138790639.html?s=sou_sou_soulb&t=0_0&req=151199a23ed44bed05ec0c54c2ffd189
河北,河北省,,河北,,,low,province-only-city-source,30,job_006994,https://jobs.51job.com/hebeisheng/138790647.html?s=sou_sou_soulb&t=0_0&req=90054f74abfc5b504146f32061ab66f5
海南,海南省,,海南,,,low,province-only-city-source,29,job_006459,https://jobs.51job.com/hainansheng/138790645.html?s=sou_sou_soulb&t=0_0&req=e3a161ee55dc193b46c4008f2a82258a
福建,福建省,,福建,,,low,province-only-city-source,28,job_006478,https://jobs.51job.com/fujiansheng/138790638.html?s=sou_sou_soulb&t=0_0&req=3b5fc5d5199b102a0f5a0ad878bfb85d
