province_std_source,city_std_source,district_std_source,province_std_final,city_std_final,district_std_final,city_std_confidence,city_std_reason,record_count,example_job_id,example_detail_url
上海,上海,浦东新区,上海,上海,浦东新区,high,exact-city-alias,28015,job_000304,https://jobs.51job.com/shanghai-pdxq/158660215.html?s=sou_sou_soulb&t=0_0&req=4b45ca6e49337e3e3c9ab0646b199fe8
深圳,深圳,宝安区,广东,深圳,宝安区,high,exact-city-alias,23140,job_000043,https://jobs.51job.com/shenzhen-baq/169071482.html?s=sou_sou_soulb&t=0_1&req=0949676080f5f0934c4c3b057039b46f
上海,上海,,上海,上海,,high,exact-city-alias,22457,job_000311,https://jobs.51job.com/shanghai/171562073.html?s=sou_sou_soulb&t=0_0&req=4b45ca6e49337e3e3c9ab0646b199fe8
江苏,苏州,昆山市,江苏,苏州,昆山市,high,exact-city-alias,19056,job_004253,https://jobs.51job.com/kunshan/171659393.html?s=sou_sou_soulb&t=0_0&req=93163cfb21d4670dedb149fcd2766d24
上海,上海,闵行区,上海,上海,闵行区,high,exact-city-alias,14535,job_000305,https://jobs.51job.com/shanghai-mhq/171655105.html?s=sou_sou_soulb&t=0_0&req=4b45ca6e49337e3e3c9ab0646b199fe8
江苏,苏州,苏州工业园区,江苏,苏州,苏州工业园区,high,exact-city-alias,14387,job_004250,https://jobs.51job.com/suzhou-gyyq/170003052.html?s=sou_sou_soulb&t=0_0&req=93163cfb21d4670dedb149fcd2766d24
深圳,深圳,龙岗区,广东,深圳,龙岗区,high,exact-city-alias,14086,job_000605,https://jobs.51job.com/shenzhen-lgq/165433448.html?s=sou_sou_soulb&t=0_1&req=e7e878b3b47ffbafbfe13edf3f5214dd
深圳,深圳,南山区,广东,深圳,南山区,high,exact-city-alias,13636,job_002683,https://jobs.51job.com/shenzhen-nsq/170465975.html?s=sou_sou_soulb&t=0_0&req=9d3ed804a95527883fea21b6bf1c41a8
广东,广州,,广东,广州,,high,exact-city-alias,13215,job_001378,https://jobs.51job.com/guangzhou/171646671.html?s=sou_sou_soulb&t=0_0&req=50cd477752152299424fa76c834b3a61
广东,广州,黄埔区,广东,广州,黄埔区,high,exact-city-alias,12128,job_001382,https://jobs.51job.com/guangzhou-hpq/169521650.html?s=sou_sou_soulb&t=0_0&req=50cd477752152299424fa76c834b3a61
