skill_norm,skill_category,is_genai,match_value,notes
ChatGPT,GenAI,1,chatgpt,
GPT,GenAI,1,gpt-4,
GPT,GenAI,1,gpt4,
GPT,GenAI,1,gpt,
DeepSeek,GenAI,1,deepseek,
Prompt Engineering,GenAI,1,prompt,
Prompt Engineering,GenAI,1,提示词,
AIGC,GenAI,1,aigc,
LLM/大模型,GenAI,1,大模型,
LLM/大模型,GenAI,1,llm,
LangChain,GenAI,1,langchain,
RAG,GenAI,1,rag,
RAG,GenAI,1,检索增强,
RAG,GenAI,1,向量数据库,
AI Agent,GenAI,1,智能体,
AI Agent,GenAI,1,agent,
Copilot,GenAI,1,copilot,
Midjourney,GenAI,1,midjourney,
Stable Diffusion,GenAI,1,stable diffusion,
Stable Diffusion,GenAI,1,sdxl,
Python,Programming,0,python,
Java,Programming,0,java,
JavaScript,Programming,0,javascript,
TypeScript,Programming,0,typescript,
C++,Programming,0,c++,
C#,Programming,0,c#,
C#,Programming,0,asp.net,
C#,Programming,0,.net,
Go,Programming,0,golang,
Go,Programming,0,go语言,
Go,Programming,0,go开发,
PHP,Programming,0,php,
Rust,Programming,0,rust,
SQL,Data,0,sql,
SQL,Data,0,mysql,
SQL,Data,0,postgresql,
SQL,Data,0,sqlserver,
Oracle,Data,0,oracle,
Excel,Office/BI,0,excel,
Power BI,Office/BI,0,power bi,
Power BI,Office/BI,0,powerbi,
Tableau,Office/BI,0,tableau,
SPSS,Office/BI,0,spss,
SAS,Office/BI,0,sas,
R,Office/BI,0,r语言,
Hadoop,Data,0,hadoop,
Spark,Data,0,spark,
Git,DevOps,0,git,
Linux,DevOps,0,linux,
Docker,DevOps,0,docker,
Kubernetes,DevOps,0,kubernetes,
Kubernetes,DevOps,0,k8s,
Redis,DevOps,0,redis,
Kafka,DevOps,0,kafka,
React,Programming,0,react,
Vue,Programming,0,vue,
Vue,Programming,0,vue3,
Spring Boot,Programming,0,spring boot,
Spring Boot,Programming,0,springboot,
REST API,Programming,0,restful,
REST API,Programming,0,api接口,
REST API,Programming,0,openapi,
TensorFlow,AI Framework,0,tensorflow,
PyTorch,AI Framework,0,pytorch,
机器学习,AI Framework,0,机器学习,
深度学习,AI Framework,0,深度学习,
自然语言处理,AI Framework,0,自然语言处理,
自然语言处理,AI Framework,0,nlp,
计算机视觉,AI Framework,0,计算机视觉,
计算机视觉,AI Framework,0,cv算法,
MATLAB,Engineering,0,matlab,
LabVIEW,Engineering,0,labview,
CAD,Engineering,0,autocad,
CAD,Engineering,0,cad制图,
CAD,Engineering,0,cad,
CAD,Engineering,0,cad图,
SolidWorks,Engineering,0,solidworks,
UG/NX,Engineering,0,ug,
UG/NX,Engineering,0,nx,
UG/NX,Engineering,0,unigraphics,
CATIA,Engineering,0,catia,
Eplan,Engineering,0,eplan,
PLC,Engineering,0,plc,
SAP,ERP/CRM,0,sap,
ERP,ERP/CRM,0,erp,
CRM,ERP/CRM,0,crm,
Photoshop,Design,0,photoshop,
Photoshop,Design,0,ps设计,
Photoshop,Design,0,photoshop软件,
Illustrator,Design,0,illustrator,
Illustrator,Design,0,ai软件,
Figma,Design,0,figma,
Axure,Design,0,axure,
Premiere,Design,0,premiere,
Premiere,Design,0,pr剪辑,
After Effects,Design,0,after effects,
After Effects,Design,0,ae动画,
SEO/SEM,Marketing,0,seo,
SEO/SEM,Marketing,0,sem,
数据分析,Business,0,数据分析,
数据分析,Business,0,报表分析,
数据分析,Business,0,经营分析,
项目管理,Business,0,项目管理,
项目管理,Business,0,pmp,
供应链管理,Business,0,供应链管理,
质量管理,Business,0,质量管理,
质量管理,Business,0,qc工具,
质量管理,Business,0,qa工具,
财务核算,Business,0,财务核算,
财务核算,Business,0,账务处理,
财务核算,Business,0,总账,
招聘配置,Business,0,招聘配置,
招聘配置,Business,0,人才招聘,
