task_norm,task_category,match_value,notes
需求分析,产品/分析,需求分析,
方案设计,研发/设计,方案设计,
方案设计,研发/设计,架构设计,
方案设计,研发/设计,系统设计,
方案设计,研发/设计,产品设计,
软件开发,研发/设计,软件开发,
软件开发,研发/设计,系统开发,
软件开发,研发/设计,功能开发,
软件开发,研发/设计,代码开发,
软件开发,研发/设计,二次开发,
算法建模,研发/设计,算法优化,
算法建模,研发/设计,模型训练,
算法建模,研发/设计,模型微调,
算法建模,研发/设计,建模分析,
数据分析,分析/运营,数据分析,
数据分析,分析/运营,报表分析,
数据分析,分析/运营,经营分析,
数据分析,分析/运营,数据洞察,
测试验证,研发/质控,测试验证,
测试验证,研发/质控,功能测试,
测试验证,研发/质控,系统测试,
测试验证,研发/质控,调试优化,
运维部署,研发/运维,运维部署,
运维部署,研发/运维,上线部署,
运维部署,研发/运维,环境部署,
运维部署,研发/运维,监控运维,
项目管理,管理/协同,项目管理,
项目管理,管理/协同,项目推进,
项目管理,管理/协同,项目协调,
项目管理,管理/协同,跨部门协同,
销售拓客,销售/商务,销售拓展,
销售拓客,销售/商务,客户开发,
销售拓客,销售/商务,市场开拓,
销售拓客,销售/商务,商务拓展,
客户维护,销售/服务,客户维护,
客户维护,销售/服务,售后支持,
客户维护,销售/服务,客户服务,
客户维护,销售/服务,客情维护,
市场推广,市场/运营,市场推广,
市场推广,市场/运营,品牌推广,
市场推广,市场/运营,活动策划,
市场推广,市场/运营,广告投放,
内容创作,市场/内容,文案撰写,
内容创作,市场/内容,内容创作,
内容创作,市场/内容,视频剪辑,
内容创作,市场/内容,脚本撰写,
运营优化,市场/运营,用户运营,
运营优化,市场/运营,店铺运营,
运营优化,市场/运营,社群运营,
运营优化,市场/运营,运营优化,
生产操作,制造/生产,生产操作,
生产操作,制造/生产,装配作业,
生产操作,制造/生产,加工操作,
生产操作,制造/生产,机台操作,
质量检验,制造/质量,质量检验,
质量检验,制造/质量,品质管控,
质量检验,制造/质量,来料检验,
质量检验,制造/质量,过程检验,
设备维护,制造/设备,设备维护,
设备维护,制造/设备,维修保养,
设备维护,制造/设备,设备点检,
设备维护,制造/设备,故障处理,
采购跟单,供应链/采购,采购执行,
采购跟单,供应链/采购,询价比价,
采购跟单,供应链/采购,供应商管理,
采购跟单,供应链/采购,订单跟进,
仓储物流,供应链/物流,仓储管理,
仓储物流,供应链/物流,发货配送,
仓储物流,供应链/物流,物流调度,
仓储物流,供应链/物流,库存管理,
财务核算,财务,财务核算,
财务核算,财务,账务处理,
财务核算,财务,报税申报,
财务核算,财务,审计支持,
招聘培训,人力资源,招聘面试,
招聘培训,人力资源,培训组织,
招聘培训,人力资源,员工关系,
招聘培训,人力资源,绩效管理,
教学授课,教育,授课教学,
教学授课,教育,备课教研,
教学授课,教育,课程辅导,
教学授课,教育,教学管理,
医疗护理,医疗,临床诊疗,
医疗护理,医疗,护理服务,
医疗护理,医疗,医学检验,
医疗护理,医疗,用药指导,
合规审查,法务/风控,合同审核,
合规审查,法务/风控,合规审查,
合规审查,法务/风控,风险控制,
合规审查,法务/风控,内控管理,
