city,province,region_std,city_job_count,GDI_c,Exposure_c,SRI_c,entropy_c,GDI_group,Exposure_group,SRI_group,city_type
七台河,黑龙江,东北,21,0.0000000000,7.9165146300,-0.5925354914,2.4205609811,low,low,middle,低 GDI × 低 Exposure
万宁,海南,东部,25,0.0000000000,8.5709462082,0.2700672064,2.8427463273,low,middle,high,低 GDI × 高 Exposure
三亚,海南,东部,781,0.0051216389,9.3185963616,-0.0295288792,3.7874910702,high,high,high,高 GDI × 高 Exposure
三明,福建,东部,160,0.0000000000,8.8420110185,-0.5272960721,3.2844152394,low,high,middle,低 GDI × 高 Exposure
三门峡,河南,中部,150,0.0000000000,7.6071281315,-4.2974645265,2.9206311697,low,low,low,低 GDI × 低 Exposure
上海,上海,东部,136607,0.0162070758,9.2467613850,0.5712767052,4.1161635582,high,high,high,高 GDI × 高 Exposure
上饶,江西,中部,831,0.0024067389,8.3927778676,-1.3083298631,3.8137092544,middle,middle,low,高 GDI × 低 Exposure
东方,海南,东部,25,0.0000000000,8.3552458285,0.2847469186,3.1302718269,low,middle,high,低 GDI × 低 Exposure
东莞,广东,东部,45687,0.0049685906,8.4625257417,-0.3145193343,3.9303495089,high,middle,high,高 GDI × 高 Exposure
东营,山东,东部,250,0.0040000000,8.6145353628,-0.5667567142,3.5753470906,middle,high,middle,高 GDI × 高 Exposure
中卫,宁夏,西部,76,0.0263157895,9.1166862874,-0.4537209847,3.0412801973,high,high,middle,高 GDI × 高 Exposure
中山,广东,东部,9839,0.0136192703,8.6326370916,-0.0269249925,4.0102341339,high,high,high,高 GDI × 高 Exposure
临夏,甘肃,西部,51,0.0000000000,9.4857016052,-0.1872470626,2.9235210921,low,high,high,低 GDI × 高 Exposure
临汾,山西,中部,305,0.0000000000,8.0850068367,-2.7638105641,2.9435962672,low,low,low,低 GDI × 低 Exposure
临沂,山东,东部,730,0.0013698630,8.5258454306,-0.6172223592,3.5630175858,middle,middle,middle,高 GDI × 高 Exposure
临沧,云南,西部,150,0.0000000000,9.1381241905,0.1213626894,3.0274784349,low,high,high,低 GDI × 高 Exposure
临高,海南,东部,2,0.0000000000,8.3392976780,0.7850690286,0.0000000000,low,middle,high,低 GDI × 低 Exposure
丹东,辽宁,东北,111,0.0000000000,7.8473037175,-0.3374794280,2.8846990676,low,low,high,低 GDI × 低 Exposure
丽水,浙江,东部,672,0.0014880952,8.4743196906,-0.8114925483,3.7666770186,middle,middle,middle,高 GDI × 高 Exposure
丽江,云南,西部,154,0.0000000000,8.7673276902,-0.3602444504,3.1990993132,low,high,high,低 GDI × 高 Exposure
义乌,浙江,东部,882,0.0068027211,8.7488919728,-0.7288025790,3.7987650231,high,high,middle,高 GDI × 高 Exposure
乌兰察布,内蒙古,西部,199,0.0000000000,7.5402715729,-2.0815173315,3.2263791435,low,low,low,低 GDI × 低 Exposure
乌海,内蒙古,西部,56,0.0000000000,7.7232275859,-0.2874743629,2.9712875713,low,low,high,低 GDI × 低 Exposure
乌鲁木齐,新疆,西部,1538,0.0039011704,9.1605412423,0.5453678331,3.6012060891,middle,high,high,高 GDI × 高 Exposure
乐东,海南,东部,14,0.0000000000,8.6490744379,0.4669637505,2.2877732292,low,high,high,低 GDI × 高 Exposure
乐山,四川,西部,452,0.0066371681,9.0295380255,-0.7843087117,3.6634031585,high,high,middle,高 GDI × 高 Exposure
九江,江西,中部,1405,0.0142348754,8.7190626721,-0.4962833769,3.8791665985,high,high,middle,高 GDI × 高 Exposure
云南省,云南,未知,248,0.0120967742,9.4886352390,0.5133354973,3.5868488966,high,high,high,高 GDI × 高 Exposure
云浮,广东,东部,367,0.0000000000,8.4389863684,-0.1611820650,3.7329866594,low,middle,high,低 GDI × 高 Exposure
五家渠,新疆,西部,8,0.0000000000,9.3206304283,-0.1161303853,2.1972245773,low,high,high,低 GDI × 高 Exposure
五指山,海南,东部,10,0.0000000000,7.5507756944,-0.3493225526,1.9792045174,low,low,high,低 GDI × 低 Exposure
亳州,安徽,中部,319,0.0000000000,8.0124708943,-1.4536196852,3.5891318660,low,low,low,低 GDI × 低 Exposure
仙桃,湖北,中部,400,0.0000000000,7.9438155215,-1.1770073717,3.6635646764,low,low,low,低 GDI × 低 Exposure
伊春,黑龙江,东北,52,0.0000000000,8.5187953797,-0.5821325134,2.6328164431,low,middle,middle,低 GDI × 高 Exposure
伊犁,新疆,西部,103,0.0000000000,8.6455634827,-0.1733160114,3.3244842169,low,high,high,低 GDI × 高 Exposure
佛山,广东,东部,22680,0.0071428571,8.9450482515,-0.0652137762,4.0288134262,high,high,high,高 GDI × 高 Exposure
佳木斯,黑龙江,东北,107,0.0093457944,7.8359517581,-0.3508607939,2.8973802769,high,low,high,高 GDI × 低 Exposure
保亭,海南,东部,4,0.0000000000,8.8030949662,0.0858417712,0.6365141683,low,high,high,低 GDI × 高 Exposure
保定,河北,东部,1010,0.0009900990,8.2899946357,-1.9938011392,3.4751175297,middle,middle,low,高 GDI × 低 Exposure
保山,云南,西部,193,0.0000000000,9.1149597501,-0.6809815232,3.4997732361,low,high,middle,低 GDI × 高 Exposure
信阳,河南,中部,401,0.0000000000,7.7995322980,-3.0313112357,3.3685460770,low,low,low,低 GDI × 低 Exposure
儋州,海南,东部,89,0.0000000000,8.6489889764,-0.5272616122,3.1861633073,low,high,middle,低 GDI × 高 Exposure
克孜勒苏柯尔克孜,新疆,西部,18,0.0000000000,6.1932635361,-0.7628425241,2.0801158528,low,low,middle,低 GDI × 低 Exposure
克拉玛依,新疆,西部,46,0.0000000000,9.0956876704,-0.4334305550,3.2620303945,low,high,middle,低 GDI × 高 Exposure
六安,安徽,中部,806,0.0074441687,8.3682117444,-0.5078024866,3.7126772287,high,middle,middle,高 GDI × 低 Exposure
六盘水,贵州,西部,227,0.0000000000,8.0785332315,-1.6680615751,3.3378966581,low,low,low,低 GDI × 低 Exposure
兰州,甘肃,西部,1587,0.0006301197,8.7202933794,-0.6408984425,3.4811676541,middle,high,middle,高 GDI × 高 Exposure
兴安盟,内蒙古,西部,35,0.0000000000,8.1359255738,-0.6215259683,3.1262545923,low,low,middle,低 GDI × 低 Exposure
内江,四川,西部,404,0.0024752475,8.5185542813,-0.4205629777,3.6775044178,middle,middle,middle,高 GDI × 高 Exposure
内蒙古,内蒙古,未知,66,0.0000000000,9.4887136265,0.2906845529,3.0030634498,low,high,high,低 GDI × 高 Exposure
