province,job_count,genai_jobs,genai_job_share
北京,27472,797,0.029011357018054747
上海,136607,2214,0.01620707577210538
重庆,22024,239,0.010851798038503451
天津,7051,72,0.010211317543610836
广东,306485,3026,0.009873240125944174
四川,44974,443,0.00985013563392182
陕西,17017,150,0.008814714697067638
西藏,461,4,0.008676789587852495
广西,9526,82,0.008608020155364266
福建,13632,111,0.008142605633802816
湖北,67064,522,0.007783609686269832
浙江,96260,723,0.007510907957614793
山东,19365,144,0.007436096049573974
安徽,31945,235,0.007356393801846924
江苏,188559,1296,0.006873180277791036
湖南,20555,133,0.0064704451471661395
黑龙江,2958,19,0.006423258958755916
辽宁,15122,94,0.006216108980293612
贵州,4621,27,0.005842891149101926
宁夏,1380,8,0.005797101449275362
吉林,3654,21,0.005747126436781609
江西,13954,74,0.005303138884907553
河南,15690,80,0.005098789037603569
云南,18460,81,0.00438786565547129
新疆,2674,7,0.002617801047120419
河北,9568,25,0.002612876254180602
海南,2935,7,0.002385008517887564
山西,4786,9,0.0018804847471792729
内蒙古,3021,3,0.0009930486593843098
甘肃,3058,3,0.0009810333551340746
青海,765,0,0.0
