变量,样本数,均值,标准差,最小值,P25,中位数,P75,最大值
n_cg,2728.0,401.42705278592376,1769.5687086270693,10.0,22.0,47.0,146.0,36730.0
GDI_c,2728.0,0.003747144620271261,0.0044115390325120225,0.0,0.0,0.0024311183,0.0054305913,0.029011357
Exposure_g,2728.0,10.091914600056967,4.432070539273703,3.350830171,7.1301787078,10.1072701955,12.9309742363,26.8900207138
Exposure_c,2728.0,8.489077759468293,0.4194837262617448,7.4157518754,8.2027558503,8.4582251608,8.7541188328,9.8586997647
GDI_x_Exposure_z,2728.0,0.07441234771931819,1.0372636015055705,-0.6397442453,-0.6397442453,-0.259291526,0.2937679487,12.9591662891
SkillEntropy_cg,2728.0,2.825200229430242,0.5770140948749031,0.0,2.4450288379750003,2.8766598263,3.276622969525,4.0308480334
SRI_cg_smooth,2728.0,-3.2992312042984005e-13,2.8054875210754453,-8.3422522933,-1.259025484375,-0.16883099145,0.68878199735,20.1312804319
genai_skill_share_smooth,2728.0,0.006348382008834311,0.02993538375232075,2.6748e-06,0.0002346548,0.0007977685,0.002432587425,0.3651565521
digital_skill_share_smooth,2728.0,0.18204287407859238,0.1314952935056188,0.0043046541,0.084043074575,0.13657479225,0.26596305075,0.8225942957
high_order_skill_share_smooth,2728.0,0.5429819901313783,0.1317782858045271,0.1333243503,0.463371466,0.5397934232999999,0.6096488083,0.9592435287
routine_skill_share_smooth,2728.0,0.23430357892708942,0.14873751510494038,0.0144113685,0.1097664455,0.1926386021,0.3449955728,0.7900675834
