city,province,region_std,city_job_count,small_sample_penalty_weight,GDI_c,GDI_c_penalty_display,Exposure_c,Exposure_c_penalty_display,SRI_c,SRI_c_penalty_display,entropy_c,entropy_c_penalty_display,city_type
北京,北京,东部,27472,1.0,0.029011357,0.029011357,9.8365080735,9.8365080735,1.4431886966,1.4431886966,4.0978192798,4.0978192798,高 GDI × 高 Exposure
桂林,广西,西部,1038,1.0,0.0105973025,0.0105973025,9.4322094349,9.4322094349,0.6743906234,0.6743906234,3.9862909346,3.9862909346,高 GDI × 高 Exposure
杭州,浙江,东部,31458,1.0,0.0133193464,0.0133193464,9.2283314658,9.2283314658,0.5918837708,0.5918837708,4.0650665214,4.0650665214,高 GDI × 高 Exposure
上海,上海,东部,136607,1.0,0.0162070758,0.0162070758,9.2467545623,9.2467545623,0.5854972384,0.5854972384,4.1161635582,4.1161635582,高 GDI × 高 Exposure
西安,陕西,西部,13645,1.0,0.010773177,0.010773177,9.1840894435,9.1840894435,0.4559406007,0.4559406007,3.9502356666,3.9502356666,高 GDI × 高 Exposure
乌鲁木齐,新疆,西部,1696,1.0,0.0035377358,0.0035377358,9.1337139158,9.1337139158,0.4523813191,0.4523813191,3.5998931201,3.5998931201,高 GDI × 高 Exposure
深圳,广东,东部,98489,1.0,0.0124683975,0.0124683975,9.1391387692,9.1391387692,0.4120143846,0.4120143846,4.0677072111,4.0677072111,高 GDI × 高 Exposure
广州,广东,东部,83087,1.0,0.0127216051,0.0127216051,9.3149577891,9.3149577891,0.4110771748,0.4110771748,4.0761408502,4.0761408502,高 GDI × 高 Exposure
郑州,河南,中部,7795,1.0,0.0087235407,0.0087235407,9.2645586244,9.2645586244,0.3971680746,0.3971680746,3.8779633009,3.8779633009,高 GDI × 高 Exposure
南京,江苏,东部,26215,1.0,0.0135418653,0.0135418653,9.0774439157,9.0774439157,0.393955943,0.393955943,4.0344882911,4.0344882911,高 GDI × 高 Exposure
厦门,福建,东部,4717,1.0,0.0127199491,0.0127199491,9.0505387537,9.0505387537,0.3822810287,0.3822810287,4.0167715759,4.0167715759,高 GDI × 高 Exposure
长沙,湖南,中部,13590,1.0,0.0091979397,0.0091979397,9.0869690514,9.0869690514,0.3819362384,0.3819362384,3.9596905719,3.9596905719,高 GDI × 高 Exposure
重庆,重庆,西部,22024,1.0,0.010851798,0.010851798,8.9731410699,8.9731410699,0.3060287917,0.3060287917,3.9988189054,3.9988189054,高 GDI × 高 Exposure
成都,四川,西部,35728,1.0,0.0117554859,0.0117554859,9.1519963619,9.1519963619,0.2726843724,0.2726843724,4.0002226475,4.0002226475,高 GDI × 高 Exposure
林芝,西藏,西部,83,0.28809720581775866,0.0240963855,0.006942101332857556,9.4478725449,2.7219056811080065,0.8727481827,0.25143631281839673,3.2661450722,0.9409672690962616,高 GDI × 高 Exposure
福州,福建,东部,4253,1.0,0.0091699976,0.0091699976,8.9697443655,8.9697443655,0.2222370909,0.2222370909,3.8961547737,3.8961547737,高 GDI × 高 Exposure
济南,山东,东部,5426,1.0,0.0093991891,0.0093991891,8.9640146822,8.9640146822,0.173578862,0.173578862,3.8412936639,3.8412936639,高 GDI × 高 Exposure
喀什地区,新疆,西部,121,0.3478505426185217,0.0,0.0,9.3425292057,3.2498038536321316,0.4157649083,0.14462404895389494,3.158922778,1.098833002417308,低 GDI × 高 Exposure
恩施,湖北,中部,206,0.4538722287164087,0.0,0.0,8.9658863567,4.069366823133471,0.2785770973,0.12643840802089884,3.261302206,1.48021450075496,低 GDI × 高 Exposure
昆明,云南,西部,14163,1.0,0.0054367013,0.0054367013,9.2820373704,9.2820373704,0.1217025958,0.1217025958,3.832234942,3.832234942,高 GDI × 高 Exposure
海口,海南,东部,2046,1.0,0.0014662757,0.0014662757,9.0927154104,9.0927154104,0.1216335642,0.1216335642,3.8132647321,3.8132647321,高 GDI × 高 Exposure
和田,新疆,西部,27,0.16431676725154984,0.0,0.0,8.9316065403,1.4676127130648955,0.7050156211,0.11584588772099556,2.788292538,0.45816321599577914,低 GDI × 高 Exposure
天津,天津,东部,7051,1.0,0.0102113175,0.0102113175,8.8994983228,8.8994983228,0.1145534576,0.1145534576,3.984058291,3.984058291,高 GDI × 高 Exposure
合肥,安徽,中部,16438,1.0,0.0104027254,0.0104027254,8.6566636531,8.6566636531,0.1021371225,0.1021371225,3.9759017057,3.9759017057,高 GDI × 高 Exposure
武汉,湖北,中部,52255,1.0,0.0093579562,0.0093579562,8.9705052026,8.9705052026,0.0896286451,0.0896286451,4.0192671082,4.0192671082,高 GDI × 高 Exposure
绵阳,四川,西部,1464,1.0,0.006147541,0.006147541,8.6093703482,8.6093703482,0.0792423558,0.0792423558,3.8852476157,3.8852476157,高 GDI × 高 Exposure
临沧,云南,西部,150,0.3872983346207417,0.0,0.0,9.1381145359,3.5391765413276617,0.1426848532,0.05526160601996501,3.0274784349,1.1725373559369796,低 GDI × 高 Exposure
果洛,青海,西部,2,0.044721359549995794,0.0,0.0,8.3392728422,0.3729436191615415,1.0193093938,0.04558490189281805,1.0986122887,0.049131435168996485,低 GDI × 低 Exposure
海北,青海,西部,6,0.07745966692414834,0.0,0.0,7.2999440358,0.5654512335779912,0.5831530495,0.04517084098007139,1.3862943611,0.10738189946963103,低 GDI × 低 Exposure
普洱,云南,西部,191,0.43703546766824314,0.0052356021,0.002288143812298336,9.0236339392,3.9436480786853028,0.0936728572,0.040938360954222555,3.4722848311,1.5175116250371352,高 GDI × 高 Exposure
