line,group_cn,job_count,avg_llm_exposure_total,genai_job_share,genai_skill_share,digital_skill_share,model_status,model_n_obs,coef_GDI_x_Exposure_z,se_hc3,p_hc3_normal,significance
企业性质,国有企业,83156,9.770066,0.014816,0.009409,0.195625,estimated,834.0,0.215368,0.126613,0.088943,*
企业性质,民营企业,754595,8.575586,0.007403,0.004587,0.176346,estimated,2492.0,0.54906,0.132366,3.4e-05,***
企业性质,外资企业,116424,8.766521,0.015263,0.010022,0.227539,estimated,697.0,0.554499,0.169302,0.001056,***
企业性质,合资企业,51456,9.068639,0.008512,0.005361,0.189586,estimated,561.0,0.014247,0.25549,0.95553,
企业性质,事业单位,6212,11.079725,0.051352,0.032985,0.25137,estimated,131.0,0.103254,0.305918,0.735723,
企业性质,政府机关与社会组织,3250,8.924716,0.022154,0.012743,0.174868,estimated,78.0,0.076418,0.663177,0.908262,
企业性质,其他,96192,10.018546,0.012714,0.008705,0.189491,estimated,858.0,0.532187,0.125754,2.3e-05,***
企业性质,未知,391,8.013152,0.005115,0.004098,0.159836,not_estimated_insufficient_df,5.0,,,,
行业属性,互联网平台,722,7.640666,0.01385,0.020666,0.314581,estimated,12.0,-5.388271,1.229457,1.2e-05,***
行业属性,软件与信息技术服务,93504,10.497767,0.026683,0.015705,0.251368,estimated,718.0,0.395576,0.127913,0.001985,***
行业属性,人工智能/大数据/云计算,84,24.159076,0.285714,0.165975,0.518672,not_estimated_no_valid_rows,,,,,
行业属性,电子商务,40256,10.899717,0.029461,0.019388,0.244257,estimated,519.0,0.235702,0.159265,0.138891,
行业属性,金融,39021,8.682957,0.007509,0.005367,0.133486,estimated,481.0,0.121583,0.241865,0.615183,
行业属性,制造业,496712,8.752512,0.006462,0.003853,0.180402,estimated,1591.0,0.263405,0.143017,0.065509,*
行业属性,教育培训,23399,8.477288,0.016069,0.009174,0.149473,estimated,307.0,-0.062629,0.224458,0.780226,
行业属性,医疗健康,11351,8.431756,0.004669,0.002193,0.14982,estimated,185.0,-0.004461,0.409991,0.991319,
行业属性,房地产与建筑,121695,8.822431,0.005621,0.004011,0.164264,estimated,975.0,-0.348148,0.262016,0.183938,
行业属性,物流与供应链,61081,8.725734,0.010052,0.006905,0.214097,estimated,545.0,0.465675,0.273304,0.088405,*
行业属性,专业服务,87168,7.098951,0.008776,0.006482,0.148167,estimated,1035.0,0.543513,0.159189,0.00064,***
行业属性,消费服务,103316,8.718823,0.005594,0.00407,0.190548,estimated,906.0,0.213484,0.157887,0.176333,
行业属性,政府公共服务,5638,9.348834,0.02359,0.012425,0.193588,estimated,127.0,0.669592,0.400076,0.094197,*
行业属性,其他,27729,8.953578,0.008222,0.004578,0.168398,estimated,430.0,-0.044011,0.301601,0.88398,
行业属性,未知,0,,,,,not_estimated_no_panel,,,,,
