name,areaCode,level
北京市,11,province
东城区,110101,district
西城区,110102,district
朝阳区,110105,district
丰台区,110106,district
石景山区,110107,district
海淀区,110108,district
门头沟区,110109,district
房山区,110111,district
通州区,110112,district
顺义区,110113,district
昌平区,110114,district
大兴区,110115,district
怀柔区,110116,district
平谷区,110117,district
密云区,110118,district
延庆区,110119,district
天津市,12,province
和平区,120101,district
河东区,120102,district
河西区,120103,district
南开区,120104,district
河北区,120105,district
红桥区,120106,district
东丽区,120110,district
西青区,120111,district
津南区,120112,district
北辰区,120113,district
武清区,120114,district
宝坻区,120115,district
滨海新区,120116,district
宁河区,120117,district
静海区,120118,district
蓟州区,120119,district
河北省,13,province
石家庄市,130100,prefecture
唐山市,130200,prefecture
秦皇岛市,130300,prefecture
邯郸市,130400,prefecture
邢台市,130500,prefecture
保定市,130600,prefecture
张家口市,130700,prefecture
承德市,130800,prefecture
沧州市,130900,prefecture
廊坊市,131000,prefecture
衡水市,131100,prefecture
山西省,14,province
太原市,140100,prefecture
大同市,140200,prefecture
阳泉市,140300,prefecture
长治市,140400,prefecture
晋城市,140500,prefecture
朔州市,140600,prefecture
晋中市,140700,prefecture
运城市,140800,prefecture
忻州市,140900,prefecture
临汾市,141000,prefecture
吕梁市,141100,prefecture
内蒙古,15,province
呼和浩特市,150100,prefecture
包头市,150200,prefecture
乌海市,150300,prefecture
赤峰市,150400,prefecture
通辽市,150500,prefecture
鄂尔多斯市,150600,prefecture
呼伦贝尔市,150700,prefecture
巴彦淖尔市,150800,prefecture
乌兰察布市,150900,prefecture
兴安盟,152200,prefecture
锡林郭勒盟,152500,prefecture
阿拉善盟,152900,prefecture
辽宁省,21,province
沈阳市,210100,prefecture
大连市,210200,prefecture
鞍山市,210300,prefecture
抚顺市,210400,prefecture
本溪市,210500,prefecture
丹东市,210600,prefecture
锦州市,210700,prefecture
营口市,210800,prefecture
阜新市,210900,prefecture
辽阳市,211000,prefecture
盘锦市,211100,prefecture
铁岭市,211200,prefecture
朝阳市,211300,prefecture
葫芦岛市,211400,prefecture
吉林省,22,province
长春市,220100,prefecture
吉林市,220200,prefecture
