job_id,source_job_id,platform,detail_url,source_url,city_seed,keyword_seed,job_title_raw,job_title_std,company_name_raw,company_name_std,city_raw,city_std,salary_raw,salary_min_month,salary_max_month,salary_avg_month,education_raw,education_std,experience_raw,experience_std,company_industry_raw,company_size_raw,job_tags_raw,jd_text_raw,jd_text_clean
job_000001,158418577,51job_campus,https://xyz.51job.com/external/apply.aspx?jobid=158418577&ctmid=8063865,https://campus.51job.com/baowugroup2026/job.html,南京,运维工程师,计算机工程师,计算机工程师,宝山钢铁股份有限公司,宝山钢铁股份有限公司,南京,南京,9千-1.2万,,,,本科,本科,在校生/应届生,应届,采掘业/冶炼,10000人以上,运维工程师,主要职责： 1、负责公司信息系统的网络技术管理，分析并研究公司信息系统运作现状，并提出改进方案，不断提高信息系统的管理水平； 2、负责信息系统网络建设的技术交流、技术谈判、安装调试、技术资料的消化、投产保驾，交工验收，以及落实点检维护和运行管理职责； 3、负责公司ERP系统UPS供电系统、精密空调系统、消防系统的安全，确保关键设备正常运行。,主要职责： 1、负责公司信息系统的网络技术管理，分析并研究公司信息系统运作现状，并提出改进方案，不断提高信息系统的管理水平； 2、负责信息系统网络建设的技术交流、技术谈判、安装调试、技术资料的消化、投产保驾，交工验收，以及落实点检维护和运行管理职责； 3、负责公司ERP系统UPS供电系统、精密空调系统、消防系统的安全，确保关键设备正常运行。
job_000002,168628683,51job_campus,https://xyz.51job.com/external/apply.aspx?jobid=168628683&ctmid=8063865,https://campus.51job.com/baowugroup2026/job.html,马鞍山,机械设备工程师,机械设备工程师,机械设备工程师,马钢（集团）控股有限公司,马钢（集团）控股有限公司,马鞍山,马鞍山,8千-1.6万,,,,本科,本科,在校生/应届生,应届,原材料和加工,10000人以上,机械设备工程师,【岗位职责】 负责生产类设备的选型、验收管理；负责工艺管理、自控系统、设备的设计方案审核、以及相关区域、产线的设备管理，推进智慧制造，提升设备能力和装备水平。 【任职要求】 1、专业要求。2026届机械、轴承等相关专业本科及以上学历； 2、外语水平。大学英语四级及以上水平或雅思6分、托福80分及以上水平。,【岗位职责】 负责生产类设备的选型、验收管理；负责工艺管理、自控系统、设备的设计方案审核、以及相关区域、产线的设备管理，推进智慧制造，提升设备能力和装备水平。 【任职要求】 1、专业要求。2026届机械、轴承等相关专业本科及以上学历； 2、外语水平。大学英语四级及以上水平或雅思6分、托福80分及以上水平。
job_000003,168628675,51job_campus,https://xyz.51job.com/external/apply.aspx?jobid=168628675&ctmid=8063865,https://campus.51job.com/baowugroup2026/job.html,马鞍山,电气工程师,电气自动化工程师,电气自动化工程师,马钢（集团）控股有限公司,马钢（集团）控股有限公司,马鞍山,马鞍山,8千-1.6万,,,,本科,本科,在校生/应届生,应届,原材料和加工,10000人以上,电气工程师,【岗位职责】 负责现场设备运行指标制定、收集、汇总、分析工作，解决电气设备相关的各类生产问题，开展技术革新、技术改造等工作。 【任职要求】 1、专业要求。2026届电气自动化类本科及以上学历。 2、外语水平。大学英语四级及以上水平或雅思6分、托福80分及以上水平。,【岗位职责】 负责现场设备运行指标制定、收集、汇总、分析工作，解决电气设备相关的各类生产问题，开展技术革新、技术改造等工作。 【任职要求】 1、专业要求。2026届电气自动化类本科及以上学历。 2、外语水平。大学英语四级及以上水平或雅思6分、托福80分及以上水平。
job_000004,168631155,51job_campus,https://xyz.51job.com/external/apply.aspx?jobid=168631155&ctmid=8063865,https://campus.51job.com/baowugroup2026/job.html,马鞍山,矿产勘探/地质勘测工程师,地质岩土（马鞍山）,地质岩土（马鞍山）,宝武资源有限公司,宝武资源有限公司,马鞍山,马鞍山,1-1.2万,,,,本科,本科,在校生/应届生,应届,石油/化工/矿产/地质,10000人以上,矿产勘探/地质勘测工程师,岗位职责： 1.开展矿山地质工作，做好矿产资源储量的计算与管理，及时核实.分析矿产资源储量的保有和变动情况，为矿山长期开发规划和短期生产提供矿产资源储量依据。 2.及时进行矿山地质编录.地质取样工作。 3.负责矿山开采储量的动态管理，核定矿山生产准备矿量。 4.监督指导矿山的地质技术工作，及时了解出现的各种地质灾害情况，并提出处理意见。 5.监督指导矿石损失贫化管理工作，及时完成矿石开采损失和贫化率指标的计算.统计.分析工作。 6.负责矿石质量管理，编制矿石质量计划，防止或降低矿石的贫化损失，提高采出矿石质量，确保输出矿石质量均衡.稳定。 7.配合采矿工作人员编制完成年度采剥计划.中长远采剥技术规划，完成矿石质量计划编制工作。 任职要求： 1.本科及以上学历；地质工程类相关专业。 2.英语熟练，具备一定的听.说.读.写能力，大学英语四级425分以上（或托福.雅思达到同等水平）。 3.2026届毕业生，在校期间学习成绩优秀，专业排名靠前优先。 4.具备良好的沟通能力.逻辑思维能力，有较强的团队协作意识及抗压能力，吃苦耐劳。,岗位职责： 1.开展矿山地质工作，做好矿产资源储量的计算与管理，及时核实.分析矿产资源储量的保有和变动情况，为矿山长期开发规划和短期生产提供矿产资源储量依据。 2.及时进行矿山地质编录.地质取样工作。 3.负责矿山开采储量的动态管理，核定矿山生产准备矿量。 4.监督指导矿山的地质技术工作，及时了解出现的各种地质灾害情况，并提出处理意见。 5.监督指导矿石损失贫化管理工作，及时完成矿石开采损失和贫化率指标的计算.统计.分析工作。 6.负责矿石质量管理，编制矿石质量计划，防止或降低矿石的贫化损失，提高采出矿石质量，确保输出矿石质量均衡.稳定。 7.配合采矿工作人员编制完成年度采剥计划.中长远采剥技术规划，完成矿石质量计划编制工作。 任职要求： 1.本科及以上学历；地质工程类相关专业。 2.英语熟练，具备一定的听.说.读.写能力，大学英语四级425分以上（或托福.雅思达到同等水平）。 3.2026届毕业生，在校期间学习成绩优秀，专业排名靠前优先。 4.具备良好的沟通能力.逻辑思维能力，有较强的团队协作意识及抗压能力，吃苦耐劳。
job_000005,168631139,51job_campus,https://xyz.51job.com/external/apply.aspx?jobid=168631139&ctmid=8063865,https://campus.51job.com/baowugroup2026/job.html,上海-宝山区,软件工程师,软件开发工程师,软件开发工程师,上海宝信软件股份有限公司,上海宝信软件股份有限公司,上海-宝山区,上海-宝山区,1.2-2.2万,,,,本科,本科,在校生/应届生,应届,计算机软件,10000人以上,软件工程师,岗位详情： 软件产品的需求分析、设计、开发、测试。 能力要求： ①至少熟练掌握一种开发语言及数据库； ②熟悉数据分析、算法求解器者优先。,岗位详情： 软件产品的需求分析、设计、开发、测试。 能力要求： ①至少熟练掌握一种开发语言及数据库； ②熟悉数据分析、算法求解器者优先。
job_000006,168631135,51job_campus,https://xyz.51job.com/external/apply.aspx?jobid=168631135&ctmid=8063865,https://campus.51job.com/baowugroup2026/job.html,上海-宝山区,电气工程师,工业机器人工程师,工业机器人工程师,上海宝信软件股份有限公司,上海宝信软件股份有限公司,上海-宝山区,上海-宝山区,1.2-2.2万,,,,本科,本科,在校生/应届生,应届,计算机软件,10000人以上,电气工程师,岗位详情： 负责机器人控制系统及相关软件中模块的设计、代码编写、测试和维护工作。 能力要求： ①具有自动控制、计算机控制、电路原理等方面专业知识，掌握CAD、EB或EPLAN等主流绘图软件； ②熟悉PLC编程和调试，具备一定的传动系统设计、调试能力。,岗位详情： 负责机器人控制系统及相关软件中模块的设计、代码编写、测试和维护工作。 能力要求： ①具有自动控制、计算机控制、电路原理等方面专业知识，掌握CAD、EB或EPLAN等主流绘图软件； ②熟悉PLC编程和调试，具备一定的传动系统设计、调试能力。
job_000007,168631157,51job_campus,https://xyz.51job.com/external/apply.aspx?jobid=168631157&ctmid=8063865,https://campus.51job.com/baowugroup2026/job.html,南京-雨花台区,机械设备工程师,机械技术,机械技术,宝武资源有限公司,宝武资源有限公司,南京-雨花台区,南京-雨花台区,8千-1万,,,,本科,本科,无需经验,无需经验,石油/化工/矿产/地质,10000人以上,机械设备工程师,职位职责： 1.承担公司机械设备的点检、运行、检修的管理，完成检修项目的审核工作。 2.负责分管设备机械方面的技术问题，处理设备重要故障和事故，在技术上提出诊断意见。 3.承担分管机械设备大修理计划、更新计划、设备选型以及备件计划的审核工作，并对计划完成情况进行检查、监督和考核。 4.督促实施设备的计划检修、停产检修及事故抢修工作。 任职要求： 1.本科及以上学历；机械工程、车辆工程等相关专业。 2.英语熟练，具备一定的听说读写能力，大学英语四级425分以上（或托福.雅思达到同等水平）。 3.2026届毕业生，在校期间学习成绩优秀，专业排名靠前优先。 4.具备良好的沟通能力逻辑思维能力，有较强的团队协作意识及抗压能力，吃苦耐劳。,职位职责： 1.承担公司机械设备的点检、运行、检修的管理，完成检修项目的审核工作。 2.负责分管设备机械方面的技术问题，处理设备重要故障和事故，在技术上提出诊断意见。 3.承担分管机械设备大修理计划、更新计划、设备选型以及备件计划的审核工作，并对计划完成情况进行检查、监督和考核。 4.督促实施设备的计划检修、停产检修及事故抢修工作。 任职要求： 1.本科及以上学历；机械工程、车辆工程等相关专业。 2.英语熟练，具备一定的听说读写能力，大学英语四级425分以上（或托福.雅思达到同等水平）。 3.2026届毕业生，在校期间学习成绩优秀，专业排名靠前优先。 4.具备良好的沟通能力逻辑思维能力，有较强的团队协作意识及抗压能力，吃苦耐劳。
job_000008,168631156,51job_campus,https://xyz.51job.com/external/apply.aspx?jobid=168631156&ctmid=8063865,https://campus.51job.com/baowugroup2026/job.html,哈尔滨-平房区,电气工程师,电气工程师（黑龙江-哈尔滨）,电气工程师（黑龙江-哈尔滨）,上海宝钢包装股份有限公司,上海宝钢包装股份有限公司,哈尔滨-平房区,哈尔滨-平房区,9-12万/年,7500.0,10000.0,8750.0,本科,本科,在校生/应届生,应届,印刷/包装/造纸,1000-5000人,电气工程师,1.2026年高校应届毕业生，本科及以上学历； 2.毕业于电气工程及其自动化等相关专业，在校学习成绩优秀，专业基础扎实； 3.具有较强的沟通表达能力、团队协作能力和职业发展潜力； 4.身心健康，心理素质过硬。,1.2026年高校应届毕业生，本科及以上学历； 2.毕业于电气工程及其自动化等相关专业，在校学习成绩优秀，专业基础扎实； 3.具有较强的沟通表达能力、团队协作能力和职业发展潜力； 4.身心健康，心理素质过硬。
job_000009,168631152,51job_campus,https://xyz.51job.com/external/apply.aspx?jobid=168631152&ctmid=8063865,https://campus.51job.com/baowugroup2026/job.html,上海-宝山区,软件工程师,软件研发工程师,软件研发工程师,宝钢工程技术集团有限公司,宝钢工程技术集团有限公司,上海-宝山区,上海-宝山区,1-2万,,,,硕士,硕士,在校生/应届生,应届,建筑/建材/工程,10000人以上,软件工程师,岗位详情： 1、参与设计、开发和实施公司信息化、数字化相关系统。 2、积极响应客户需求，提升客户满意度。 3、跟踪行业前沿技术，并尝试将其应用于产品创新中。 任职要求： 1、计算机科学与技术、软件工程、数学或相关专业，硕士及以上学历。 2、具备扎实的计算机、网络、软件基础知识，熟悉常见的数据结构、算法和设计模式。 3、熟练掌握 JavaScript/TypeScript、Java至少其中一门开发语言，了解关系型数据库（如 MySQL/PostgreSQL）或非关系型数据库（如 MongoDB/Redis）的基本使用。 4、具备强烈的学习热情、解决问题的能力和良好的团队沟通协作精神。 5、具有相关实习经验者优先考虑。,岗位详情： 1、参与设计、开发和实施公司信息化、数字化相关系统。 2、积极响应客户需求，提升客户满意度。 3、跟踪行业前沿技术，并尝试将其应用于产品创新中。 任职要求： 1、计算机科学与技术、软件工程、数学或相关专业，硕士及以上学历。 2、具备扎实的计算机、网络、软件基础知识，熟悉常见的数据结构、算法和设计模式。 3、熟练掌握 JavaScript/TypeScript、Java至少其中一门开发语言，了解关系型数据库（如 MySQL/PostgreSQL）或非关系型数据库（如 MongoDB/Redis）的基本使用。 4、具备强烈的学习热情、解决问题的能力和良好的团队沟通协作精神。 5、具有相关实习经验者优先考虑。
job_000010,168628724,51job_campus,https://xyz.51job.com/external/apply.aspx?jobid=168628724&ctmid=8063865,https://campus.51job.com/baowugroup2026/job.html,马鞍山,职业技术教师,职业技术教师,职业技术教师,马钢（集团）控股有限公司,马钢（集团）控股有限公司,马鞍山,马鞍山,8千-1.6万,,,,本科,本科,在校生/应届生,应届,原材料和加工,10000人以上,职业技术教师,岗位职责： 制定教学计划，设计和制定与职业技能的培训课程，开发和维护课件和教材，优化教学内容和形式，执行教学任务；管理、评估、指导学生实习、实训、毕业设计等相关教学管理工作。 任职要求： 1、专业要求：2026届自动化、电气工程及其自动化、机械设计制造及其自动化、机械工程、材料成型及控制工程、材料学、计算机科学与工程、软件工程、体育教学等相关专业本科及以上学历。具有教师资格证的优先。 2、外语水平：大学英语四级及以上水平或雅思6分、托福80分及以上水平。,岗位职责： 制定教学计划，设计和制定与职业技能的培训课程，开发和维护课件和教材，优化教学内容和形式，执行教学任务；管理、评估、指导学生实习、实训、毕业设计等相关教学管理工作。 任职要求： 1、专业要求：2026届自动化、电气工程及其自动化、机械设计制造及其自动化、机械工程、材料成型及控制工程、材料学、计算机科学与工程、软件工程、体育教学等相关专业本科及以上学历。具有教师资格证的优先。 2、外语水平：大学英语四级及以上水平或雅思6分、托福80分及以上水平。
