city,areaCode,areaLevel,keyword,page,returned_count,total_pages_hint,query_url,status,message
北京市,11,province,,1,20,10,https://www.ncss.cn/student/jobs/jobslist/ajax/?jobType=&monthPay=&industrySectors=&recruitType=&property=&categoryCode=&memberLevel=&keyUnits=&degreeCode=&sourcesName=&sourcesType=&areaCode=11&jobName=&offset=1&limit=20,ok,
北京市,11,province,,2,20,10,https://www.ncss.cn/student/jobs/jobslist/ajax/?jobType=&monthPay=&industrySectors=&recruitType=&property=&categoryCode=&memberLevel=&keyUnits=&degreeCode=&sourcesName=&sourcesType=&areaCode=11&jobName=&offset=2&limit=20,ok,
北京市,11,province,,3,20,10,https://www.ncss.cn/student/jobs/jobslist/ajax/?jobType=&monthPay=&industrySectors=&recruitType=&property=&categoryCode=&memberLevel=&keyUnits=&degreeCode=&sourcesName=&sourcesType=&areaCode=11&jobName=&offset=3&limit=20,ok,
北京市,11,province,,4,20,10,https://www.ncss.cn/student/jobs/jobslist/ajax/?jobType=&monthPay=&industrySectors=&recruitType=&property=&categoryCode=&memberLevel=&keyUnits=&degreeCode=&sourcesName=&sourcesType=&areaCode=11&jobName=&offset=4&limit=20,ok,
北京市,11,province,,5,20,10,https://www.ncss.cn/student/jobs/jobslist/ajax/?jobType=&monthPay=&industrySectors=&recruitType=&property=&categoryCode=&memberLevel=&keyUnits=&degreeCode=&sourcesName=&sourcesType=&areaCode=11&jobName=&offset=5&limit=20,ok,
北京市,11,province,,6,0,0,https://www.ncss.cn/student/jobs/jobslist/ajax/?jobType=&monthPay=&industrySectors=&recruitType=&property=&categoryCode=&memberLevel=&keyUnits=&degreeCode=&sourcesName=&sourcesType=&areaCode=11&jobName=&offset=6&limit=20,ok,
东城区,110101,district,,1,20,10,https://www.ncss.cn/student/jobs/jobslist/ajax/?jobType=&monthPay=&industrySectors=&recruitType=&property=&categoryCode=&memberLevel=&keyUnits=&degreeCode=&sourcesName=&sourcesType=&areaCode=110101&jobName=&offset=1&limit=20,ok,
东城区,110101,district,,2,20,10,https://www.ncss.cn/student/jobs/jobslist/ajax/?jobType=&monthPay=&industrySectors=&recruitType=&property=&categoryCode=&memberLevel=&keyUnits=&degreeCode=&sourcesName=&sourcesType=&areaCode=110101&jobName=&offset=2&limit=20,ok,
东城区,110101,district,,3,20,10,https://www.ncss.cn/student/jobs/jobslist/ajax/?jobType=&monthPay=&industrySectors=&recruitType=&property=&categoryCode=&memberLevel=&keyUnits=&degreeCode=&sourcesName=&sourcesType=&areaCode=110101&jobName=&offset=3&limit=20,ok,
东城区,110101,district,,4,20,10,https://www.ncss.cn/student/jobs/jobslist/ajax/?jobType=&monthPay=&industrySectors=&recruitType=&property=&categoryCode=&memberLevel=&keyUnits=&degreeCode=&sourcesName=&sourcesType=&areaCode=110101&jobName=&offset=4&limit=20,ok,
东城区,110101,district,,5,20,10,https://www.ncss.cn/student/jobs/jobslist/ajax/?jobType=&monthPay=&industrySectors=&recruitType=&property=&categoryCode=&memberLevel=&keyUnits=&degreeCode=&sourcesName=&sourcesType=&areaCode=110101&jobName=&offset=5&limit=20,ok,
东城区,110101,district,,6,0,0,https://www.ncss.cn/student/jobs/jobslist/ajax/?jobType=&monthPay=&industrySectors=&recruitType=&property=&categoryCode=&memberLevel=&keyUnits=&degreeCode=&sourcesName=&sourcesType=&areaCode=110101&jobName=&offset=6&limit=20,ok,
西城区,110102,district,,1,20,10,https://www.ncss.cn/student/jobs/jobslist/ajax/?jobType=&monthPay=&industrySectors=&recruitType=&property=&categoryCode=&memberLevel=&keyUnits=&degreeCode=&sourcesName=&sourcesType=&areaCode=110102&jobName=&offset=1&limit=20,ok,
西城区,110102,district,,2,20,10,https://www.ncss.cn/student/jobs/jobslist/ajax/?jobType=&monthPay=&industrySectors=&recruitType=&property=&categoryCode=&memberLevel=&keyUnits=&degreeCode=&sourcesName=&sourcesType=&areaCode=110102&jobName=&offset=2&limit=20,ok,
