crawl_time,crawl_date,publish_time,publish_date,source_site,source_file,keyword,city,city_clean,job_title,company_name,salary,salary_avg,experience,education,raw_tags,skills,job_url
2026-04-17T23:51:17,2026-04-17,2026-04-13 15:48:24,2026-20-06,job51,jobs_raw_2026-04-17_235106.csv,算法工程师,杭州·萧山区,杭州,算法工程师,浙江杭可科技,1.5-2万·13薪,17500,2年及以上,硕士,"2年及以上,硕士,计算机,测试,调试,c++,数学,编程语言,技术文档,机器学习,开发文档,深度学习,五险一金,餐饮补贴,专业培训,出国机会,年终奖金,股票期权,定期体检","机器学习,深度学习",https://jobs.51job.com/hangzhou-xsq/165483044.html?s=sou_sou_soulb&t=0_0&req=2556f58891e8473b888b3d2a9b9de9db
2026-04-17T23:51:17,2026-04-17,2026-04-08 16:22:55,2026-20-06,job51,jobs_raw_2026-04-17_235106.csv,算法工程师,宣城,宣城,算法工程师（机器视觉/轨迹规划方向）,安徽徽光智能科技,1-2万·13薪,15000,2年及以上,本科,"2年及以上,本科,c++,数学,算法,人工智能,仿真验证,机器视觉,opencv,计算机科学,轨迹规划,系统联调,五险,绩效奖金,专业培训,租房补贴,出差补贴,定期团建",,https://jobs.51job.com/xuancheng/171487425.html?s=sou_sou_soulb&t=0_0&req=2556f58891e8473b888b3d2a9b9de9db
2026-04-17T23:51:17,2026-04-17,2026-04-01 10:05:17,2026-20-06,job51,jobs_raw_2026-04-17_235106.csv,算法工程师,成都·武侯区,成都,算法工程师,成都阿加犀智能科技,1.5-3万·14薪,22500,3年及以上,硕士,"3年及以上,硕士,计算机,电子,c++,编程,通信,数学,软件,ai,编程语言,算法,五险一金,年终奖金,绩效奖金,带薪年假,交通补贴,通讯补贴,周末双休,节日福利,有餐补,补充公积金,住房补贴",,https://jobs.51job.com/chengdu-whq/171368921.html?s=sou_sou_soulb&t=0_0&req=2556f58891e8473b888b3d2a9b9de9db
2026-04-17T23:51:17,2026-04-17,2026-04-09 13:13:08,2026-20-06,job51,jobs_raw_2026-04-17_235106.csv,算法工程师,昆山,昆山,图像算法工程师,苏州博特勒机器人,1.5-3万,22500,2年及以上,硕士,"2年及以上,硕士,机器学习,图像处理,深度学习,opencv,计算机视觉,图像算法开发,视觉算法开发","CV,机器学习,深度学习",https://jobs.51job.com/kunshan/167543484.html?s=sou_sou_soulb&t=0_0&req=2556f58891e8473b888b3d2a9b9de9db
2026-04-17T23:51:17,2026-04-17,2026-04-07 13:42:45,2026-20-06,job51,jobs_raw_2026-04-17_235106.csv,算法工程师,成都·天府新区,成都,视觉算法工程师,清华四川能源互联网研究院,1.5-2.5万,20000,3年及以上,硕士,"3年及以上,硕士,自动化,安装,数学,电子信息,仿真,机械工程,人工智能,控制,运动学,控制工程,五险一金,定期体检,专业培训,餐饮补贴,带薪年假,通讯补贴,出差补贴",,https://jobs.51job.com/chengdu-tfxq/171455232.html?s=sou_sou_soulb&t=0_0&req=2556f58891e8473b888b3d2a9b9de9db
2026-04-17T23:51:17,2026-04-17,2026-04-17 09:23:56,2026-20-06,job51,jobs_raw_2026-04-17_235106.csv,算法工程师,上海·徐汇区,上海,图像算法工程师,长煦信息技术咨询（上海）,1.5-3万·13薪,22500,1年及以上,本科,"1年及以上,本科,项目管理,ai,技术培训,算法,调优,深度学习,opencv,计算机科学,tensorflow,数字图像处理,培训,五险一金,补充医疗保险,员工旅游,专业培训,出国机会,年终奖金,弹性工作,定期体检","TensorFlow,深度学习",https://jobs.51job.com/shanghai-xhq/169933576.html?s=sou_sou_soulb&t=0_0&req=2556f58891e8473b888b3d2a9b9de9db
2026-04-17T23:51:17,2026-04-17,2026-04-15 09:01:29,2026-20-06,job51,jobs_raw_2026-04-17_235106.csv,算法工程师,西安·未央区,西安,算法工程师(J10711),奥比中光科技集团,1-1.8万,14000,2年,硕士,"2年,硕士,数据分析,c++,数据结构,数学,matlab,编程语言,技术文档,图像处理,算法,视觉检测,专业培训,双休,加班少,法定假,五险一金,定期体检,年终奖金,带薪年假,节日福利,股票期权","MATLAB,数据分析",https://jobs.51job.com/xian-wyq/162127742.html?s=sou_sou_soulb&t=0_0&req=2556f58891e8473b888b3d2a9b9de9db
2026-04-17T23:51:17,2026-04-17,2026-04-15 09:48:28,2026-20-06,job51,jobs_raw_2026-04-17_235106.csv,算法工程师,上海·杨浦区,上海,算法工程师（声学）,上海慕灿信息科技,1.5-2.5万·13薪,20000,无需经验,硕士,"无需经验,硕士,五险一金,绩效奖金,年终奖金",,https://jobs.51job.com/shanghai-ypq/149862294.html?s=sou_sou_soulb&t=0_0&req=2556f58891e8473b888b3d2a9b9de9db
2026-04-17T23:51:17,2026-04-17,2026-04-10 10:01:32,2026-20-06,job51,jobs_raw_2026-04-17_235106.csv,算法工程师,上海·嘉定区,上海,算法工程师,上海中车瑞伯德智能系统,1.5-1.6万,15500,1-3年,本科,"1-3年,本科,编程,c#,数学,软件,计算机视觉,空间轨迹规划,大型结构件,五险一金,免费班车,交通补贴,通讯补贴,补充公积金,专业培训,工会福利,职工团建",CV,https://jobs.51job.com/shanghai-jdq/152198573.html?s=sou_sou_soulb&t=0_0&req=2556f58891e8473b888b3d2a9b9de9db
2026-04-17T23:51:17,2026-04-17,2026-03-31 11:53:07,2026-20-06,job51,jobs_raw_2026-04-17_235106.csv,算法工程师,深圳·龙华区,深圳,大模型算法工程师,深圳市鸿普森科技,2-3万,25000,1年及以上,硕士,"1年及以上,硕士,计算机,调优,深度学习框架,acl,emnlp,报告生成,算法落地,文本生成,场景研究,多轮对话,五险一金,补充医疗保险,员工旅游,专业培训,年终奖金,定期体检","大模型,深度学习",https://jobs.51job.com/shenzhen-lhq/171350093.html?s=sou_sou_soulb&t=0_0&req=2556f58891e8473b888b3d2a9b9de9db
