crawl_time,crawl_date,publish_time,publish_date,source_site,source_file,keyword,city,city_clean,job_title,company_name,salary,salary_avg,experience,education,raw_tags,skills,job_url
2026-04-17T19:54:10,2026-04-17,2026-04-17 13:34:25,2026-20-06,job51,jobs_raw_2026-04-17_195404.csv,后端开发,昆山,昆山,后端开发工程师,苏州世航智能科技,1-1.5万·13薪,12500,3年及以上,本科,"3年及以上,本科,java,数据库,软件工程,android,ios,后端开发,node.js,集成测试,api,后台管理系统",Java,https://jobs.51job.com/kunshan/171659393.html?s=sou_sou_soulb&t=0_0&req=e1f391739e574ea0a82f149f2377a84c
2026-04-17T19:54:10,2026-04-17,2026-04-17 17:36:08,2026-20-06,job51,jobs_raw_2026-04-17_195404.csv,后端开发,武汉·东湖新技术产业开发区,武汉,Java后端开发工程师,武汉菲舍控制技术,1.2-1.5万·13薪,13500,3-5年,本科,"3-5年,本科,五险,带薪年假,专业培训,定期体检,定期团建,出差补贴,绩效奖金,员工旅游",,https://jobs.51job.com/wuhan-dhxjs/171668235.html?s=sou_sou_soulb&t=0_0&req=e1f391739e574ea0a82f149f2377a84c
2026-04-17T19:54:10,2026-04-17,2026-04-17 10:18:13,2026-20-06,job51,jobs_raw_2026-04-17_195404.csv,后端开发,苏州·吴中区,苏州,Java后端开发工程师,永旺永乐服务管理集团,5-6千,5500,1-3年,大专,"1-3年,大专,java,mysql,数据库,linux,mybatis,sql,调试,git,docker,ai","Java,SQL,Linux,Docker,Git",https://jobs.51job.com/suzhou-wzq/171654013.html?s=sou_sou_soulb&t=0_0&req=e1f391739e574ea0a82f149f2377a84c
2026-04-17T19:54:10,2026-04-17,2026-04-16 10:00:38,2026-20-06,job51,jobs_raw_2026-04-17_195404.csv,后端开发,佛山·三水区,佛山,Java后端开发工程师（微服务/云原生）,佛山恺然软件,1.5-2万,17500,3年及以上,本科,"3年及以上,本科,计算机,mysql,redis,开发,中间件,sql优化,k8s,sa-token,Feign,五险一金,周末双休,带薪年假,节日福利,全职",Kubernetes,https://jobs.51job.com/foshan-ssq/171629712.html?s=sou_sou_soulb&t=0_0&req=e1f391739e574ea0a82f149f2377a84c
2026-04-17T19:54:10,2026-04-17,2026-04-17 17:23:55,2026-20-06,job51,jobs_raw_2026-04-17_195404.csv,后端开发,深圳·坪山区,深圳,MES系统开发工程师（JAVA后端）,深圳玉汝成口腔材料,1.6-1.8万,17000,2年及以上,本科,"2年及以上,本科,五险一金,定期体检,带薪年假,节日福利,全勤奖",,https://jobs.51job.com/shenzhen-psq/171667903.html?s=sou_sou_soulb&t=0_0&req=e1f391739e574ea0a82f149f2377a84c
2026-04-17T19:54:10,2026-04-17,2026-04-17 15:20:03,2026-20-06,job51,jobs_raw_2026-04-17_195404.csv,后端开发,深圳·龙华区,深圳,医疗康复行业后端架构和agent开发,日照国峤汽车零部件,3-4万,35000,2年及以上,本科,"2年及以上,本科,计算机,康复指导,agent,康复机器人,知识图谱,康复评估,智能穿戴设备,运动康复,康复,医疗,五险一金,带薪年假,绩效奖金,专业培训,定期体检,出差补贴,通讯补贴,交通补贴,免费工作餐",,https://jobs.51job.com/shenzhen-lhq/171663213.html?s=sou_sou_soulb&t=0_0&req=e1f391739e574ea0a82f149f2377a84c
2026-04-17T19:54:10,2026-04-17,2026-04-16 14:09:42,2026-20-06,job51,jobs_raw_2026-04-17_195404.csv,后端开发,西安·雁塔区,西安,Java后端开发工程师,成都众鑫达人力资源,1.4-1.5万·13薪,14500,无需经验,大专,"无需经验,大专,计算机,java,mysql,数据库,mybatis,需求分析,编程,数据库设计,代码实现,优化系统性能,员工旅游,绩效奖金,年终奖金,零食下午茶,包吃,五险",Java,https://jobs.51job.com/xian-ytq/171638207.html?s=sou_sou_soulb&t=0_0&req=e1f391739e574ea0a82f149f2377a84c
2026-04-17T19:54:10,2026-04-17,2026-03-10 15:22:24,2026-20-06,job51,jobs_raw_2026-04-17_195404.csv,后端开发,上海·徐汇区,上海,全栈开发工程师,上海大犀牛建设,1.5-3万,22500,5年及以上,本科,"5年及以上,本科,java,mysql,javascript,vue,react,数据库设计,Python,后端,ai,前端,五险一金,年终奖金,绩效奖金,不定期下午茶","Python,Java",https://jobs.51job.com/shanghai-xhq/167571079.html?s=sou_sou_soulb&t=0_0&req=e1f391739e574ea0a82f149f2377a84c
2026-04-17T19:54:10,2026-04-17,2026-03-18 11:01:12,2026-20-06,job51,jobs_raw_2026-04-17_195404.csv,后端开发,杭州·西湖区,杭州,java开发工程师  待遇好,上海学获帮教育科技,1.3-1.7万,15000,1-3年,本科,"1-3年,本科,mybatis,编码,代码调试,boot,系统设计,五险一金,年终奖金,定期体检,弹性工作,周末双休,带薪年假,节日福利,做五休二",,https://jobs.51job.com/hangzhou-xhq/171116257.html?s=sou_sou_soulb&t=0_0&req=e1f391739e574ea0a82f149f2377a84c
2026-04-17T19:54:10,2026-04-17,2026-04-17 09:07:23,2026-20-06,job51,jobs_raw_2026-04-17_195404.csv,后端开发,扬州·广陵区,扬州,全栈开发工程师（偏人资管理）,扬州福尔喜果蔬汁机械,1-1.5万,12500,3年及以上,本科,"3年及以上,本科,计算机,java,需求分析,编程,前端开发,研发,ai,功能设计,后端开发,模块开发",Java,https://jobs.51job.com/yangzhou-glq/171651076.html?s=sou_sou_soulb&t=0_0&req=e1f391739e574ea0a82f149f2377a84c
